indicator_name,year,value
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2011,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2012,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2013,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2014,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2015,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2016,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2017,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2018,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2019,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2020,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2021,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2022,0
Number of years of compulsory pre-primary education guaranteed in legal frameworks,2023,0
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,1998,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,1999,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2000,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2001,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2002,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2003,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2004,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2005,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2006,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2007,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2008,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2009,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2010,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2011,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2012,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2013,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2014,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2015,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2016,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2017,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2018,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2019,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2020,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2021,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2022,11
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2023,11
Number of years of free pre-primary education guaranteed in legal frameworks,1998,2
Number of years of free pre-primary education guaranteed in legal frameworks,1999,2
Number of years of free pre-primary education guaranteed in legal frameworks,2000,2
Number of years of free pre-primary education guaranteed in legal frameworks,2001,2
Number of years of free pre-primary education guaranteed in legal frameworks,2002,2
Number of years of free pre-primary education guaranteed in legal frameworks,2003,2
Number of years of free pre-primary education guaranteed in legal frameworks,2004,2
Number of years of free pre-primary education guaranteed in legal frameworks,2005,2
Number of years of free pre-primary education guaranteed in legal frameworks,2006,2
Number of years of free pre-primary education guaranteed in legal frameworks,2007,2
Number of years of free pre-primary education guaranteed in legal frameworks,2008,2
Number of years of free pre-primary education guaranteed in legal frameworks,2009,2
Number of years of free pre-primary education guaranteed in legal frameworks,2010,2
Number of years of free pre-primary education guaranteed in legal frameworks,2011,2
Number of years of free pre-primary education guaranteed in legal frameworks,2012,2
Number of years of free pre-primary education guaranteed in legal frameworks,2013,2
Number of years of free pre-primary education guaranteed in legal frameworks,2014,2
Number of years of free pre-primary education guaranteed in legal frameworks,2015,2
Number of years of free pre-primary education guaranteed in legal frameworks,2016,2
Number of years of free pre-primary education guaranteed in legal frameworks,2017,2
Number of years of free pre-primary education guaranteed in legal frameworks,2018,2
Number of years of free pre-primary education guaranteed in legal frameworks,2019,2
Number of years of free pre-primary education guaranteed in legal frameworks,2020,2
Number of years of free pre-primary education guaranteed in legal frameworks,2021,2
Number of years of free pre-primary education guaranteed in legal frameworks,2022,2
Number of years of free pre-primary education guaranteed in legal frameworks,2023,2
Number of years of free primary and secondary education guaranteed in legal frameworks,1998,13
Number of years of free primary and secondary education guaranteed in legal frameworks,1999,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2000,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2001,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2002,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2003,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2004,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2005,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2006,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2007,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2008,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2009,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2010,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2011,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2012,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2013,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2014,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2015,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2016,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2017,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2018,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2019,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2020,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2021,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2022,13
Number of years of free primary and secondary education guaranteed in legal frameworks,2023,13
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",1998,7.374159813
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",1999,5.639649868
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2000,5.957349777
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2001,5.566100121
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2002,4.218279839
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2003,4.11082983
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2004,2.172029972
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2005,2.599819899
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2006,5.790279865
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2007,6.777589798
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2008,5.652510166
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2009,4.255380154
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2010,3.066550016
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2011,5.381159782
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2012,6.943309784
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2013,3.092299938
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2014,1.037960052
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2015,1.067880034
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2016,
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2017,1.500890017
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2018,2.769560099
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2019,3.20114994
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2020,3.289190054
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2021,3.068739891
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2022,3.099299908
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",2023,
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",1998,1.803359985
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",1999,1.401540041
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2000,0.789009988
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2001,0.332590014
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2002,0.305799991
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2003,0.350650012
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2004,0.0152
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2005,0.073080003
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2006,1.027430058
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2007,3.209199905
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2008,1.448539972
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2009,0.00581
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2010,0.01187
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2011,1.758900046
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2012,5.00496006
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2013,1.107599974
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2014,1.190690041
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2015,1.48131001
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2016,
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2017,1.292639971
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2018,1.867699981
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2019,1.860980034
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2020,1.219859958
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2021,1.188279986
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2022,0.916230023
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",2023,
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",1998,
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",1999,
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2000,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2001,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2002,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2003,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2004,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2005,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2006,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2007,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2008,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2009,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2010,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2011,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2012,0
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2013,1
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2014,1
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2015,1
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2016,1
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2017,1
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2018,1
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2019,1
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2020,1
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2021,1
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2022,1
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",2023,1
"Out-of-school rate for children of primary school age, both sexes (%)",1998,0.00871
"Out-of-school rate for children of primary school age, both sexes (%)",1999,0.075130001
"Out-of-school rate for children of primary school age, both sexes (%)",2000,0.051800001
"Out-of-school rate for children of primary school age, both sexes (%)",2001,0.048009999
"Out-of-school rate for children of primary school age, both sexes (%)",2002,0.026079999
"Out-of-school rate for children of primary school age, both sexes (%)",2003,0.04228
"Out-of-school rate for children of primary school age, both sexes (%)",2004,0.587080002
"Out-of-school rate for children of primary school age, both sexes (%)",2005,0.079580002
"Out-of-school rate for children of primary school age, both sexes (%)",2006,1.037719965
"Out-of-school rate for children of primary school age, both sexes (%)",2007,2.362760067
"Out-of-school rate for children of primary school age, both sexes (%)",2008,0.387609988
"Out-of-school rate for children of primary school age, both sexes (%)",2009,0.750140011
"Out-of-school rate for children of primary school age, both sexes (%)",2010,0.558300018
"Out-of-school rate for children of primary school age, both sexes (%)",2011,1.099490047
"Out-of-school rate for children of primary school age, both sexes (%)",2012,1.913010001
"Out-of-school rate for children of primary school age, both sexes (%)",2013,1.919460058
"Out-of-school rate for children of primary school age, both sexes (%)",2014,1.701869965
"Out-of-school rate for children of primary school age, both sexes (%)",2015,1.508530021
"Out-of-school rate for children of primary school age, both sexes (%)",2016,1.346330047
"Out-of-school rate for children of primary school age, both sexes (%)",2017,0.88252002
"Out-of-school rate for children of primary school age, both sexes (%)",2018,0.442640007
"Out-of-school rate for children of primary school age, both sexes (%)",2019,0.050420001
"Out-of-school rate for children of primary school age, both sexes (%)",2020,0.026319999
"Out-of-school rate for children of primary school age, both sexes (%)",2021,0.03215
"Out-of-school rate for children of primary school age, both sexes (%)",2022,0.094910003
"Out-of-school rate for children of primary school age, both sexes (%)",2023,
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",1998,
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",1999,
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2000,1
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2001,1
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2002,0
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2003,0
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2004,0
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2005,0
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2006,0
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2007,1
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2008,1
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2009,1
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2010,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2011,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2012,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2013,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2014,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2015,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2016,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2017,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2018,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2019,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2020,2
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2021,3
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2022,3
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",2023,3
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",1998,4.64741993
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",1999,3.315730095
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2000,0.00031
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2001,1.018030047
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2002,0.127130002
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2003,5.328279972
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2004,6.129109859
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2005,7.189340115
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2006,8.139900208
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2007,8.449029922
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2008,2.69927001
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2009,2.494080067
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2010,4.096739769
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2011,4.213270187
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2012,2.650629997
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2013,3.926589966
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2014,1.37480998
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2015,
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2016,
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2017,
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2018,
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2019,
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2020,
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2021,
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2022,
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",2023,
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",1998,3.874530077
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",1999,3.011379957
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2000,3.198440075
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2001,3.019089937
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2002,2.307389975
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2003,2.274679899
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2004,1.461519957
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2005,1.47676003
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2006,3.684459925
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2007,4.831910133
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2008,3.347110033
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2009,2.723289967
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2010,1.966070056
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2011,3.488159895
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2012,4.683670044
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2013,2.553139925
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2014,1.349789977
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2015,1.278139949
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2016,
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2017,1.200870037
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2018,1.641459942
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2019,1.688940048
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2020,1.745800018
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2021,1.652050018
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2022,1.715790033
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",2023,
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",1998,11.70600986
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",1999,8.977020264
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2000,10.0109396
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2001,9.641480446
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2002,7.230120182
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2003,6.99421978
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2004,3.815310001
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2005,4.484449863
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2006,9.259380341
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2007,9.342499733
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2008,8.661040306
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2009,7.306690216
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2010,5.271840096
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2011,7.971899986
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2012,8.310139656
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2013,4.475689888
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2014,0.93175
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2015,0.773400009
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2016,
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2017,1.661409974
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2018,3.479579926
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2019,4.264900208
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2020,4.936329842
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2021,4.560460091
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2022,4.811920166
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",2023,
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",1998,
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",1999,
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2000,15.00000095
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2001,13
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2002,11
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2003,9
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2004,8
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2005,9
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2006,9
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2007,10
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2008,9
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2009,8
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2010,7
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2011,6
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2012,5
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2013,3
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2014,2
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2015,2
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2016,3
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2017,4
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2018,5
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2019,5
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2020,5
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2021,5
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2022,5
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",2023,5
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",1998,40.1
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",1999,40.5
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2000,41.1
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2001,40.7
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2002,40.4
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2003,40.8
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2004,62
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2005,61.6
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2006,61
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2007,61.2
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2008,57.8
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2009,59.3
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2010,58.8
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2011,58.17
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2012,60.13
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2013,58.95
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2014,60.04
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2015,58.78
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2016,58.56
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2017,59.76
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2018,57.98
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2019,58.82
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2020,49.87
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2021,53
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2022,51.8
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",2023,56.12
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-64 years old, both sexes (%)",1998,13.1
